case_label,channel,L,temperature_index,temperature,energy_cell_pass,failed_locked_target
random_p085,xi_over_L,60,8,1.0999919984,True,False
random_p085,xi_over_L,60,9,1.1099919984,True,False
random_p085,xi_over_L,60,10,1.1199919984,True,False
random_p085,xi_over_L,60,11,1.1299919984,True,False
random_p085,xi_over_L,80,4,1.0599919984,True,False
random_p085,xi_over_L,80,5,1.0699919984,True,False
random_p085,xi_over_L,80,6,1.0799919984,True,False
random_p085,xi_over_L,80,7,1.0899919984,True,False
random_p085,xi_over_L,80,8,1.0999919984,True,False
random_p085,xi_over_L,80,9,1.1099919984,True,False
random_p085,xi_over_L,100,5,1.0699919984,True,False
random_p085,xi_over_L,100,6,1.0799919984,True,False
random_p085,xi_over_L,100,7,1.0899919984,True,False
random_p085,xi_over_L,100,8,1.0999919984,True,False
random_p085,xi_over_L,100,9,1.1099919984,True,False
random_p085,xi_over_L,120,5,1.0699919984,True,False
random_p085,xi_over_L,120,6,1.0799919984,True,False
random_p085,xi_over_L,120,7,1.0899919984,True,False
random_p085,xi_over_L,120,8,1.0999919984,True,False
random_p090,binder_roa,40,2,1.199967993599,True,False
random_p090,binder_roa,40,3,1.209967993599,True,False
random_p090,binder_roa,40,4,1.219967993599,True,False
random_p090,binder_roa,40,5,1.229967993599,True,False
random_p090,binder_roa,40,6,1.239967993599,True,False
random_p090,binder_roa,40,7,1.249967993599,True,False
random_p090,binder_roa,40,8,1.259967993599,True,False
random_p090,binder_roa,40,9,1.269967993599,True,False
random_p090,binder_roa,40,10,1.279967993599,True,False
random_p090,binder_roa,40,11,1.289967993599,True,False
random_p090,binder_roa,40,12,1.299967993599,True,False
random_p090,binder_roa,40,13,1.309967993599,True,False
random_p090,binder_roa,40,14,1.319967993599,True,False
random_p090,binder_roa,60,4,1.219967993599,True,False
random_p090,binder_roa,60,5,1.229967993599,True,False
random_p090,binder_roa,60,6,1.239967993599,True,False
random_p090,binder_roa,60,7,1.249967993599,True,False
random_p090,binder_roa,60,8,1.259967993599,True,False
random_p090,binder_roa,60,9,1.269967993599,True,False
random_p090,binder_roa,60,10,1.279967993599,True,False
random_p090,binder_roa,60,11,1.289967993599,True,False
