case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,40,1.62,10,10,1.0,10,1.0,10,1.0,145.9863115025523,146.7547667439611,167.27826927209298,1217.2109436221212,1255.4003662836674,1441.8958848391285,34.2497864939384,29.934241463947075,4.107751434703032,3.4678198956072976,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.42,10,10,1.0,10,1.0,10,1.0,2897.756213875803,2962.0436680515904,3199.073463724657,3246.489640330564,3351.0382113442997,3473.83863629159,1.725472962859221,1.5631952189982026,1.5401250439508227,1.4393301088801813,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.43,10,10,1.0,10,1.0,10,1.0,2572.4729153192047,2701.9516721306422,2957.9264681094182,2645.851998254267,3003.993664634355,3325.969378102807,1.9436550605546712,1.690443673009063,1.889750448361813,1.5033215712081072,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.44,10,10,1.0,10,1.0,10,1.0,2658.9435479715553,2660.770734232286,2790.8248997766855,2836.2660561012103,2886.928082102257,3025.614447795512,1.8804460906341471,1.7915914854242856,1.7628811617458424,1.6528425983174122,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.45,10,10,1.0,10,1.0,10,1.0,2571.8360122995796,2592.965906690135,2644.163023563161,2757.9773829899486,2841.0272307891355,2966.80440004503,1.9441363975338783,1.890958176758509,1.8129227711720588,1.6853174873645438,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.46,10,10,1.0,10,1.0,10,1.0,2230.8484694314993,2355.3567183834202,2475.8106381863836,2618.372709975362,2760.987915090319,2822.4201139284282,2.241299697632166,2.0198196655234573,1.90958299441146,1.7715407453143333,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.47,10,10,1.0,10,1.0,10,1.0,2036.2217336558656,2063.911140907963,2238.984106471228,2444.2294686093815,2503.2491543442056,2631.932900487405,2.4555282547853565,2.2337956813820794,2.045634448080154,1.8999997832484352,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.48,10,10,1.0,10,1.0,10,1.0,1809.4745956864592,1878.2174530734019,2037.9007793893718,2153.150744315128,2191.704414639141,2452.1063472391484,2.7632330467193733,2.453507953931738,2.322178330152353,2.039282148552968,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.49,10,10,1.0,10,1.0,10,1.0,1552.39805888473,1586.4765332051354,1719.8421208175141,1936.5147317104631,1959.9701670870327,2130.255121582498,3.2208234037551478,2.907389704445789,2.581958153028692,2.3471682583545936,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,60,1.5,10,10,1.0,10,1.0,10,1.0,1188.965387014586,1254.9185608187854,1390.7774380745755,1487.113548085213,1562.9177196227067,1699.6789552059413,4.205336887522581,3.5952348319176295,3.3622180407393443,2.9423881061795165,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
